,Year,Access to clean fuels and technologies for cooking (% of population),"Agriculture, forestry, and fishing, value added (% of GDP)",Current health expenditure per capita (current US$),"Current health expenditure per capita, PPP (current international $)","GDP per capita, PPP (current international $)",Gini index,Livestock production index (2014-2016 = 100),People using at least basic drinking water services (% of population),People using safely managed sanitation services (% of population),People with basic handwashing facilities including soap and water (% of population),Population density (people per sq. km of land area),Fluoroquinolones,Chloramphenicols,Broad spectrum penicillins,Aminoglycosides,Carbapenems,Cephalosporins,Glycopeptides,Lipopeptides,Macrolides,Glycylcyclines,Monobactams,Narrow spectrum penicillins,Others,Oxazolidinones,Phosphonics,Polymyxins,Tetracyclines,Trimethoprim,All Antibiotics,Carbapenems-checkpoint,Glycopeptides-checkpoint,Narrow spectrum penicillins-checkpoint,Fluoroquinolones-checkpoint,Chloramphenicols-checkpoint,Agricultural land (% of land area),Arable land (% of land area),Control of Corruption: Estimate,Government Effectiveness: Estimate,"Hospital beds (per 1,000 people)","Immunization, DPT (% of children ages 12-23 months)",Income share held by fourth 20%,Income share held by highest 10%,Income share held by highest 20%,Income share held by lowest 10%,Income share held by lowest 20%,Income share held by second 20%,Income share held by third 20%,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","Life expectancy at birth, total (years)",Political Stability and Absence of Violence/Terrorism: Estimate,Population ages 65 and above (% of total population),"Population, total",Poverty gap at $2.15 a day (2017 PPP) (%),Poverty gap at $3.65 a day (2017 PPP) (%),Poverty gap at $6.85 a day (2017 PPP) (%),Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),Poverty headcount ratio at national poverty lines (% of population),Proportion of people living below 50 percent of median income (%),Refugee population by country or territory of asylum,Regulatory Quality: Estimate,Rule of Law: Estimate,Urban population (% of total population),Voice and Accountability: Estimate,Incidence of tuberculosis (per 100 000 population per year),Raised fasting blood glucose (>= 7.0 mmol/L) (crude estimate),Prevalence of obesity among adults,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),All antibacterials,J01A: tetracyclines,J01B: amphenicols,J01C: B-lactam antibacterials,J01D: other B-lactam antibacterials,J01E: sulfonamides and trimethoprim,"J01F: macrolides, lincosamides and streptogramins",J01G: aminoglycoside antibacterials,J01M: quinolone antibacterials,J01X: other antibacterials,Diabetes Prevalence (proportion),Age-standardized SEV for Unsafe sanitation,Air pollution,Total Fertility Rate,Number of Licensed Doctors(per capita),Average Temperature,Average Precipitation,Number of Inpatients in Medical Institutions(10000 persons),Crude Mortality Rate of Infectious Disease(not including Respiratory Tuberculosis) in Rural Areas(1/100000),Total Health Expenditure(100 million yuan),Deaths_Allages_allpathogens_resistancetooneormore,Deaths_Allages_allpathogens_MDRSalmonella,Deaths_Allages_nontypoidalsalmonella_resistancetooneormore,DALY_Allages_NontyphoidalSal_fluoroquinolones,DALY_Allages_allpathogens_resistancetooneormore
0,2006,48.5,10.62576053,82.79460144,230.4430482,5843.353091,43,83.26,84.8656287,23.38820352,,139.6453429,179.30812,2.11241,314.24388,31.37014,1.53987,296.03949,0.52483,0.00012,266.09354,0.00019,0.33112,44.12489,0.67083,0.00191,3.36166,0.17528,27.80303,3.86778,1171.56688,1.53987,0.52483,44.12489,179.30812,2.11241,56.07415984,12.88883063,-0.518887699,0.035788015,1.95,93,22.5,32,48.4,2.1,5.2,9.4,14.5,79.011,74.504,-0.540030122,7.996801589,1311020000,4.8,14.9,34.2,17.3,40.1,69.3,17.2,19,301024,-0.258387208,-0.699893415,43.868,-1.74897027,88,7,3.08,3.83,25.02,,,,,,,,,,,0.05386237,50.0966352,57.33251784,1.422199292,0.01678,16.23440915,2.845482696,,,9843.34,12.30936295,0.001795895,0.00318712,0.268336917,362.8477131
1,2007,50.3,10.24616576,98.87766266,250.2782442,6820.040847,43,82.84,85.87742305,25.88912686,,140.3765881,189.07313,3.73767,335.43372,28.33436,2.24876,334.49293,0.72218,0.00012,273.52369,0.00019,1.2136,37.53462,0.85023,0.00191,2.92064,0.15997,24.82202,2.59227,1237.66169,2.24876,0.72218,37.53462,189.07313,3.73767,56.1374177,12.88284996,-0.599234641,0.165997371,2.02,93,22.5,32,48.4,2.1,5.2,9.4,14.5,78.483,74.762,-0.500553727,8.158964215,1317885000,4.8,14.9,34.2,17.3,40.1,69.3,17.2,19,301075,-0.23336342,-0.597397745,45.199,-1.721250176,85,7.3,3.28,4.23,25.32,,,,,,,,,,,0.055556293,48.04917649,56.38199595,1.414181172,0.01715,16.27281421,2.748925319,,,11573.97,11.94105497,0.00178158,0.002999014,0.245314371,346.7596223
2,2008,52.7,10.16904785,134.2076416,293.3659179,7583.348896,43,87.11,86.85683007,28.50181402,,141.0977052,216.23525,2.98283,381.13477,35.5903,3.18663,416.95506,0.90521,0.00012,325.58368,0.00019,3.17521,36.11435,1.26826,0.0536,2.97858,0.05615,39.40727,3.27105,1468.89819,3.18663,0.90521,36.11435,216.23525,2.98283,56.20067197,12.90882344,-0.526307642,0.165779024,2.17,97,22.5,32,48.4,2.1,5.2,9.4,14.5,77.94,74.872,-0.493088424,8.303531862,1324655000,4.8,14.9,34.2,17.3,40.1,69.3,17.2,19,300966,-0.2183934,-0.479174674,46.539,-1.699497223,82,7.6,3.5,4.71,25.6,,,,,,,,,,,0.057441053,46.15389305,55.41539763,1.386882577,0.01792,15.65585724,2.94726776,11482.81,,14535.4,12.07628672,0.002185501,0.002756791,0.215594387,342.9624611
3,2009,55.2,9.636185514,165.2944489,358.2501514,8305.8411,43.7,90.25,87.8020667,31.22145924,,141.8012441,206.70256,1.80575,412.02898,34.39521,4.27335,472.04221,1.12519,0.00012,352.24665,0.00019,5.93482,34.42217,1.50281,0.11911,3.47639,0.00915,56.95759,2.92002,1589.96196,4.27335,1.12519,34.42217,206.70256,1.80575,56.26392504,12.9294708,-0.519456625,0.093242049,2.33,99,22.3,32.6,49,2,5.1,9.2,14.3,77.395,75.343,-0.451781332,8.450282029,1331260000,3.4,11.7,29.3,13.4,33.5,62.3,17.2,19.5,300985,-0.298093945,-0.463213772,47.88,-1.701168418,81,7.8,3.73,5.26,25.8,,,,,,,,,,,0.059472062,44.39492398,54.36061084,1.323676721,0.01905,15.96164154,2.558542805,13256.26,4.98,17541.92,12.04965244,0.003014887,0.002498969,0.186711354,334.0043162
4,2010,57.4,9.325176941,189.3437042,385.0882899,9256.103882,43.7,92.48,88.71396501,34.04724487,,142.4877434,212.9062,2.17747,423.44232,34.53914,5.87362,549.7117,1.48565,0.00012,344.48643,0.00019,7.44819,28.02802,1.81216,0.18653,3.32616,0.00692,65.7552,3.16101,1684.34684,5.87362,1.48565,28.02802,212.9062,2.17747,56.18347308,12.79608011,-0.570009887,0.091844857,2.51,99,22.3,32.6,49,2,5.1,9.2,14.3,76.86,75.599,-0.657060683,8.61654916,1337705000,3.4,11.7,29.3,13.4,33.5,62.3,17.2,19.5,300984,-0.320954978,-0.472601861,49.226,-1.680547476,76,8.1,3.97,5.9,25.88,,,,,,,,,,,0.061490542,42.60280607,53.49821508,1.185124383,0.019728,15.65582309,3.116393443,14173.55,4.13,19980.39,12.11049364,0.002137328,0.00247214,0.179847031,325.7496092
5,2011,60.1,9.177653795,239.7543335,439.5453731,10292.94048,42.4,92.85,89.58121346,36.95073611,,143.2685098,195.78006,1.48501,448.62879,34.72432,6.59761,532.49178,1.74577,0.00069,322.40155,0.00019,9.77215,25.35821,1.95176,0.29208,2.77766,0.00555,44.6949,6.81492,1635.52302,6.59761,1.74577,25.35821,195.78006,1.48501,56.10366022,12.6413861,-0.514727592,0.083608709,2.73,99,22.3,31.8,48.1,2.1,5.4,9.6,14.6,76.878,75.903,-0.602054834,8.816148032,1345035000,2.3,9.1,25.8,10,28.3,58.7,12.7,18.1,301016,-0.25913626,-0.453809977,50.511,-1.637609124,75,8.4,4.22,6.5,25.82,,,,,,,,,,,0.063675156,41.09377027,52.72807821,1.161695309,0.020202,15.36311475,2.512185792,15297.65,4.53,24345.91,11.94716644,0.002216769,0.00238662,0.17160273,315.8979222
6,2012,62.9,9.11371387,285.31427,505.7609997,11233.97277,42.2,96.45,90.41089567,39.93898541,,144.243669,314.16173,1.39909,986.59095,48.39833,7.54284,721.88038,1.95492,0.0007,615.49114,0.01197,9.72944,36.21892,1.7166,0.4348,4.81851,0.0072,104.51485,16.2059,2871.07827,7.54284,1.95492,36.21892,314.16173,1.39909,56.02352781,12.49734374,-0.438275933,0.015367764,3.05,99,22.4,31.5,47.8,2.1,5.3,9.7,14.7,76.555,76.192,-0.53878206,9.049303432,1354190000,1.8,7.6,22.9,8.3,24.3,54,10.2,18.5,301037,-0.284332842,-0.545384467,51.765,-1.63794148,73,8.8,4.49,6.92,25.71,,,,,,,,,,,0.06605274,40.09350138,51.91344414,1.280599882,0.021388,15.31390027,2.876721311,17857.1,5.69,28119,11.5919278,0.00430078,0.002293551,0.163514592,305.389888
7,2013,65.8,8.942893962,329.7810669,557.7079587,12011.68059,39.7,97.34,91.20790795,43.01897279,,145.2076439,326.19324,1.36691,991.5985,51.33837,8.43759,732.06798,2.09026,0.00124,598.79898,0.04337,5.84438,30.47935,2.40756,0.35809,3.8866,0.00304,110.04905,14.73915,2879.70366,8.43759,2.09026,30.47935,326.19324,1.36691,55.94339539,12.39590802,-0.355789781,-0.004657913,3.33,99,22.1,30.3,46.3,2.5,6.2,10.3,15,76.275,76.452,-0.543789923,9.320377287,1363240000,0.3,3.7,17,2.7,15.8,47.1,8.5,15.4,301045,-0.331608176,-0.525990129,53.013,-1.631408572,70,9.1,4.77,7.16,25.57,48.8,0.3,0,6.8,26.3,0.2,4.3,1.5,5.9,3.6,0.068437325,38.5004309,51.04158149,1.339552622,0.022858,16.13005464,6.835938921,19215.46,7.94,31668.95,11.57769896,0.003445343,0.0021106,0.149753644,301.8480134
8,2014,68.8,8.643491396,363.0093994,593.2996695,12700.44402,39.2,99.17,91.97311924,46.18993109,,146.1258167,340.18024,2.12202,1018.84069,46.4417,10.51771,765.8093,2.48818,0.00584,617.4607,0.09864,5.13782,25.59316,3.08081,0.16374,3.05831,0.00592,132.49353,14.81495,2988.31326,10.51771,2.48818,25.59316,340.18024,2.12202,55.86326298,12.31364527,-0.337421417,0.35540399,3.58,99,22.3,29.7,45.8,2.5,6.2,10.5,15.2,76.16,76.717,-0.522584021,9.633185443,1371860000,0.2,2.9,14.5,1.7,12.9,42.1,7.2,15.6,301052,-0.331334412,-0.396166623,54.259,-1.616667509,67,9.4,5.08,7.29,25.42,47.9,0.4,0,6.8,25.7,0.2,4,1.3,6,3.4,0.070660114,36.84214012,50.11859136,1.404788701,0.023749,16.14538733,6.73246582,20441.18,7.9,35312.4,11.56235301,0.003453086,0.002408424,0.170422257,298.7783551
9,2015,71.5,8.387014882,393.7799072,633.5446953,13201.67383,38.6,100.66,92.70634229,49.44812032,,146.9779493,388.98931,3.95602,984.33631,44.07816,13.15904,738.72603,2.5066,0.00596,664.78783,0.16766,4.95795,22.57358,2.49685,0.42775,2.74014,0.00091,169.02639,16.61984,3059.55632,13.15904,2.5066,22.57358,388.98931,3.95602,55.78313057,12.23564319,-0.299674153,0.417484969,3.82,99,22.3,29.4,45.4,2.6,6.4,10.6,15.3,76.067,76.977,-0.552559674,10.02005367,1379860000,,1.9,12.2,0.6,9.9,37.7,5.7,15.1,301044,-0.354117453,-0.409359097,55.5,-1.660773635,65,,5.4,7.35,25.26,48.3,0.4,0,6.8,25.6,0.2,4.2,1.2,6.5,3.3,0.072407857,36.27595536,49.12081546,1.565005585,0.025084,16.23789276,8.058620801,21053.8,7.72,40974.64,11.67522329,0.00337085,0.00254815,0.179120089,299.5067323
10,2016,74.4,8.057287535,398.7892151,664.29036,13882.02805,38.5,100.17,93.40787932,52.79106242,,147.8226414,,,,,,,,,,,,,,,,,,,,,,,,,55.70300409,12.08450102,-0.267868012,0.356864214,4.06,99,22.2,29.3,45.3,2.7,6.5,10.7,15.3,75.932,77.218,-0.502221346,10.45679874,1387790000,,1.4,10.5,0.1,7.8,34.1,4.5,14.8,317254,-0.314001739,-0.324869663,56.736,-1.559570432,63,,5.75,7.18,25.07,46.8,0.4,0,6.6,25.4,0.2,3.9,1.1,6,3.3,0.074154165,35.70681743,47.40632644,1.682025252,0.026514,16.33934206,8.952449266,22727.58,,46344.88,11.90120965,0.001759813,0.002610031,0.181956103,301.5097741
11,2017,77.1,7.463565017,440.588501,711.7505614,14750.36583,39.1,99.99,94.07732535,56.21288738,97.03880125,148.7200435,,,,,,,,,,,,,,,,,,,,,,,,,55.62287167,11.93335755,-0.291190565,0.416717708,4.34,99,22.1,29.9,45.9,2.6,6.4,10.5,15.1,75.712,77.248,-0.232558474,10.94635566,1396215000,,1.1,9.6,,6.9,31.9,3.1,15.1,321714,-0.179300889,-0.256216943,57.96,-1.503731489,62,,6.11,6.53,24.86,44,0.5,0,6.3,24.1,0.1,3.4,1,5.7,2.9,0.076286024,33.77564246,44.7570643,1.643201594,0.02829,16.54846311,7.417968934,24435.88,7.43,52598.28,11.82932062,0.001647521,0.002664908,0.187265759,296.0190749
12,2018,79.5,7.043020253,504.7997437,789.6848536,16006.91312,38.5,100.57,94.71350098,59.70094598,97.07455813,149.4171945,,,,,,,,,,,,,,,,,,,,,,,,,55.54273924,11.78221407,-0.286587775,0.496618092,4.6,99,22.2,29.4,45.4,2.7,6.5,10.7,15.3,75.495,77.744,-0.298641503,11.48005332,1402760000,,0.7,7.9,,4.9,27.9,1.7,14.8,321758,-0.228585526,-0.186719537,59.152,-1.459927917,61,,6.49,5.73,24.62,43,0.5,0,6.3,23.4,0.1,3,0.9,5.8,2.8,0.078517733,32.05433646,41.63429591,1.55380622,0.030104,16.33236006,7.527844479,25454.33,7.26,59121.91,11.58805482,0.001517658,0.002609274,0.184074365,286.1242733
13,2019,82,7.143690278,539.6194458,885.8360482,17262.1759,38.2,97.14,95.3173719,63.2498395,97.10924291,149.9481797,,,,,,,,,,,,,,,,,,,,,,,,,55.46264943,11.62756266,-0.31240508,0.544903398,4.83,99,22,29.5,45.3,2.8,6.7,10.7,15.2,75.389,77.968,-0.259810865,12.02211581,1407745000,,0.2,6.3,,2.5,24.6,0.6,13.8,303379,-0.304319978,-0.262363702,60.308,-1.627334118,58,,6.9,5.73,24.42,43,0.6,0,6.6,23.2,0.1,3,0.8,5.9,2.7,0.080535841,30.61740576,39.06030038,1.434302967,0.032105,16.57421448,5.569019434,26596.12,,65841.39,11.26935849,0.001179152,0.002627829,0.18557331,273.5487125
14,2020,83.8,7.698642534,583.4321899,963.498017,17891.48029,37.1,98.44,95.89031366,64.60967809,97.14284025,150.3055428,,,,,,,,,,,,,,,,,,,,,,,,,,11.60625934,-0.070956685,0.644194782,5,99,21.7,29.4,44.7,3.1,7.2,11,15.3,74.291,78.077,-0.473098785,12.59826196,1411100000,,,5.9,,1,24.8,,11.9,303405,-0.20264338,-0.102287054,61.428,-1.658737779,58,,7.33,4.58,,39.5,0.6,0,6.1,22.2,0.2,1.9,0.8,5.3,2.6,0.083489186,29.47230875,36.751967,1.30266193,0.034017,16.46159495,3.087307583,23012.8,,72175,11.03412247,0.000895118,0.002519567,0.171092704,264.5745029
15,2021,85.9,7.241017469,670.5145874,1032.667568,20406.72966,,108.08,96.69444916,65.9328271,97.17535983,150.4397537,,,,,,,,,,,,,,,,,,,,,,,,,,11.59560768,0.030393474,0.809331775,5,99,21.9,28.2,43.6,3.2,7.4,11.4,15.7,75.839,78.211,-0.516728878,13.14975327,1412360000,,,3.5,,,17,,11.6,303436,-0.332243532,0.010760916,62.512,-1.642867684,55,,7.79,,,38,0.5,0,6.4,21.2,0.2,1.9,0.7,4.8,2.4,0.086035525,28.39276966,38.99349135,1.227822956,0.035908,16.81431011,3.221311364,24731.8,6.52,76844.99,11.26468846,0.000816057,0.00254743,0.171017768,265.5353026
16,2022,87.8,7.321760005,670.5145874,1032.667568,22499.44267,,109.5,97.64692955,67.2202325,97.206797,,,,,,,,,,,,,,,,,,,,,,,,,,,11.59560768,0.015970249,0.495032012,,,,,,,,,,75.933,78.587,-0.441073626,13.72233545,1412175000,,,,,,,,,320,-0.418417633,-0.041443985,63.56,-1.609574914,52,,8.28,,,,,,,,,,,,,,,,,0.037218,16.51612022,2.85774382,24686.21,,85327.49,,,,,
